"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
5.278487000E-3,0.000000000E0,0.000000000E0,0.000000000E0
1.021518800E-2,0.000000000E0,0.000000000E0,0.000000000E0
1.515188700E-2,0.000000000E0,0.000000000E0,0.000000000E0
2.008954600E-2,0.000000000E0,0.000000000E0,0.000000000E0
2.502716100E-2,0.000000000E0,0.000000000E0,0.000000000E0
2.996477600E-2,0.000000000E0,0.000000000E0,0.000000000E0
3.490153200E-2,0.000000000E0,0.000000000E0,0.000000000E0
3.983807700E-2,0.000000000E0,0.000000000E0,0.000000000E0
4.477462200E-2,0.000000000E0,0.000000000E0,0.000000000E0
4.971122000E-2,0.000000000E0,0.000000000E0,0.000000000E0
5.464785100E-2,0.000000000E0,0.000000000E0,0.000000000E0
5.958448200E-2,0.000000000E0,0.000000000E0,0.000000000E0
6.452136100E-2,5.310000181E-1,4.100000113E-2,-7.509999871E-1
6.945856600E-2,5.310000181E-1,4.100000113E-2,-7.509999871E-1
7.439577100E-2,5.310000181E-1,4.100000113E-2,-7.509999871E-1
7.936007700E-2,2.910000086E-1,3.200000152E-2,-3.759999871E-1
8.441925800E-2,2.910000086E-1,3.200000152E-2,-3.759999871E-1
8.939961200E-2,1.449999958E-1,1.400000043E-2,-1.319999993E-1
9.426763700E-2,1.449999958E-1,1.400000043E-2,-1.319999993E-1
9.913566200E-2,1.449999958E-1,1.400000043E-2,-1.319999993E-1
1.040181260E-1,2.099999934E-1,3.200000152E-2,-4.500000179E-2
1.089542070E-1,2.099999934E-1,3.200000152E-2,-4.500000179E-2
1.138902880E-1,2.099999934E-1,3.200000152E-2,-4.500000179E-2
1.188263660E-1,2.099999934E-1,3.200000152E-2,-4.500000179E-2
1.237626220E-1,1.420000046E-1,5.400000140E-2,-1.700000018E-1
1.286988670E-1,1.420000046E-1,5.400000140E-2,-1.700000018E-1
1.336351120E-1,1.420000046E-1,5.400000140E-2,-1.700000018E-1
1.385714510E-1,4.339999855E-1,6.100000069E-2,-3.000000026E-3
1.435077960E-1,4.339999855E-1,6.100000069E-2,-3.000000026E-3
1.484441410E-1,4.339999855E-1,6.100000069E-2,-3.000000026E-3
1.533803200E-1,4.670000076E-1,1.350000054E-1,9.700000286E-2
1.583164050E-1,4.670000076E-1,1.350000054E-1,9.700000286E-2
1.632524900E-1,4.670000076E-1,1.350000054E-1,9.700000286E-2
1.681892440E-1,3.219999969E-1,8.600000292E-2,-4.600000009E-2
1.731269050E-1,3.219999969E-1,8.600000292E-2,-4.600000009E-2
1.780645660E-1,3.219999969E-1,8.600000292E-2,-4.600000009E-2
1.830018980E-1,9.899999946E-2,-1.759999990E-1,1.099999994E-2
1.879379890E-1,9.899999946E-2,-1.759999990E-1,1.099999994E-2
1.928740800E-1,9.899999946E-2,-1.759999990E-1,1.099999994E-2
1.978101680E-1,9.899999946E-2,-1.759999990E-1,1.099999994E-2
2.027466300E-1,-8.000000380E-3,-1.949999928E-1,7.000000030E-2
2.076830710E-1,-8.000000380E-3,-1.949999928E-1,7.000000030E-2
2.126195120E-1,-8.000000380E-3,-1.949999928E-1,7.000000030E-2
2.175558850E-1,2.039999962E-1,-1.689999998E-1,2.220000029E-1
2.224922360E-1,2.039999962E-1,-1.689999998E-1,2.220000029E-1
2.274285870E-1,2.039999962E-1,-1.689999998E-1,2.220000029E-1
2.323658740E-1,4.029999971E-1,9.999999776E-3,2.520000041E-1
2.373037250E-1,4.029999971E-1,9.999999776E-3,2.520000041E-1
2.422415760E-1,4.029999971E-1,9.999999776E-3,2.520000041E-1
2.471789230E-1,3.330000043E-1,5.600000173E-2,1.979999989E-1
2.521156840E-1,3.330000043E-1,5.600000173E-2,1.979999989E-1
2.570524450E-1,3.330000043E-1,5.600000173E-2,1.979999989E-1
2.619890610E-1,2.619999945E-1,1.099999994E-1,1.990000010E-1
2.669252920E-1,2.619999945E-1,1.099999994E-1,1.990000010E-1
2.718615230E-1,2.619999945E-1,1.099999994E-1,1.990000010E-1
2.767977510E-1,2.619999945E-1,1.099999994E-1,1.990000010E-1
2.817359550E-1,2.419999987E-1,3.500000015E-2,-1.700000092E-2
2.866741400E-1,2.419999987E-1,3.500000015E-2,-1.700000092E-2
2.916123250E-1,2.419999987E-1,3.500000015E-2,-1.700000092E-2
2.965498430E-1,8.600000292E-2,5.000000075E-2,-3.959999979E-1
3.014872540E-1,8.600000292E-2,5.000000075E-2,-3.959999979E-1
