"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
2.592719770E-1,6.499655880E1,2.551600970E1,1.793480362E1,NaN,NaN,1.531200027E1,1.000000000E0
1.117460307E0,6.499655880E1,2.551600970E1,1.793480362E1,NaN,NaN,2.131800079E1,2.201200008E0
1.421030461E0,6.499655880E1,2.551600970E1,1.793480362E1,NaN,NaN,2.343899918E1,2.625400066E0
1.440511615E0,6.499655880E1,2.551600970E1,1.793480362E1,NaN,NaN,2.357900047E1,2.653399944E0
1.616613538E0,6.499655880E1,2.551600970E1,2.723480591E1,0.000000000E0,3.022999954E1,2.357900047E1,2.653399944E0
3.301271977E0,6.499677167E1,2.551597833E1,9.435006407E0,1.564240813E0,1.529600067E2,6.400000095E0,1.018000031E2
4.301271977E0,6.499672167E1,2.551603000E1,4.834953683E0,1.548799157E0,1.528399963E2,3.400000095E0,2.029999924E1
5.301271977E0,6.499669667E1,2.551603667E1,4.634929756E0,9.270147085E-1,1.562899933E2,3.099999905E0,1.900000000E1
6.301271977E0,6.499670333E1,2.551601333E1,2.534938876E0,4.205280542E-1,1.529600067E2,2.900000095E0,1.889999962E1
7.301271977E0,6.499665167E1,2.551599500E1,-2.651064923E-1,4.910449982E-1,1.613600006E2,2.500000000E0,1.870000076E1
8.946271977E0,6.499661500E1,2.551603500E1,1.034854574E0,9.666483402E-1,1.749600067E2,2.400000095E0,1.850000000E1
9.946271977E0,6.499658500E1,2.551607167E1,1.334822217E0,1.274452209E0,1.898899994E2,2.299999952E0,1.770000076E1
1.094627198E1,6.499655333E1,2.551608833E1,1.434790864E0,1.416000843E0,1.975800018E2,2.200000048E0,1.600000000E1
1.194627198E1,6.499652333E1,2.551610500E1,3.347610487E-1,1.128271103E0,1.871399994E2,2.099999905E0,1.480000019E1
1.294627198E1,6.499650500E1,2.551611167E1,-7.652567245E-1,6.047986150E-1,1.927899933E2,2.000000000E0,1.350000000E1
1.394627198E1,6.499650000E1,2.551610500E1,-1.565260493E0,8.595860749E-2,1.927899933E2,1.799999952E0,1.260000038E1
1.494627198E1,6.499649500E1,2.551610333E1,-1.065264897E0,6.485500187E-2,1.927899933E2,1.700000048E0,1.239999962E1
1.594627198E1,6.499648500E1,2.551610167E1,-6.527391754E-2,3.469227850E-1,2.070099945E2,1.600000024E0,1.160000038E1
1.694627198E1,6.499647333E1,2.551610333E1,1.234715100E0,5.265608430E-1,1.649799957E2,1.600000024E0,1.150000000E1
1.794627198E1,6.499646833E1,2.551610667E1,1.534710060E0,6.413438916E-1,1.627799988E2,1.600000024E0,1.200000000E1
1.894627198E1,6.499645333E1,2.551613000E1,2.334693245E0,9.491477609E-1,1.416100006E2,1.600000024E0,1.219999981E1
1.994627198E1,6.499644333E1,2.551615667E1,2.734680622E0,1.217832804E0,1.131699982E2,1.600000024E0,1.269999981E1
2.094627198E1,6.499643333E1,2.551619167E1,3.334666939E0,1.404162169E0,1.147099991E2,1.500000000E0,1.319999981E1
2.194627198E1,6.499642333E1,2.551622167E1,3.734653892E0,1.377911329E0,1.110800018E2,1.500000000E0,1.339999962E1
2.294627198E1,6.499642000E1,2.551626000E1,4.234645940E0,1.455634475E0,1.094400024E2,1.600000024E0,1.400000000E1
2.394627198E1,6.499641667E1,2.551629667E1,4.434638200E0,1.371219993E0,9.981999969E1,1.500000000E0,1.310000038E1
2.494627198E1,6.499641500E1,2.551633500E1,5.434631786E0,1.057754159E0,1.050800018E2,1.600000024E0,1.350000000E1
2.594627198E1,6.499641500E1,2.551636833E1,5.834627548E0,1.135477185E0,1.131900024E2,1.500000000E0,1.339999962E1
2.694627198E1,6.499641333E1,2.551640167E1,6.234621770E0,1.205479503E0,1.045000000E2,1.600000024E0,1.380000019E1
2.794627198E1,6.499641333E1,2.551643333E1,6.734617743E0,1.235848069E0,1.019199982E2,1.700000048E0,1.439999962E1
2.894627198E1,6.499641000E1,2.551646167E1,7.234611062E0,1.260554671E0,1.006600037E2,1.600000024E0,1.419999981E1
2.994627198E1,6.499640833E1,2.551648167E1,7.934606980E0,1.210111976E0,1.276900024E2,1.500000000E0,1.430000019E1
3.094627198E1,6.499640167E1,2.551649667E1,8.534598917E0,1.156580806E0,1.492299957E2,1.500000000E0,1.389999962E1
3.194627198E1,6.499639000E1,2.551650667E1,9.234586873E0,1.114888310E0,1.595500031E2,1.399999976E0,1.369999981E1
3.294627198E1,6.499638000E1,2.551652000E1,9.834575944E0,1.080916643E0,1.592200012E2,1.399999976E0,1.380000019E1
3.394627198E1,6.499636667E1,2.551652667E1,1.033456278E1,1.070622206E0,1.767500000E2,1.399999976E0,1.380000019E1
3.494627198E1,6.499635500E1,2.551652833E1,1.093455180E1,1.072166443E0,1.813899994E2,1.399999976E0,1.380000019E1
3.594627198E1,6.499634167E1,2.551653333E1,1.153453885E1,1.078857780E0,1.784299927E2,1.399999976E0,1.119999981E1
3.694627198E1,6.499633000E1,2.551653833E1,1.193452744E1,1.053121686E0,1.762899933E2,1.500000000E0,1.060000038E1
3.794627198E1,6.499632167E1,2.551654833E1,1.243451848E1,1.056724668E0,1.594900055E2,1.500000000E0,1.010000038E1
3.894627198E1,6.499630833E1,2.551656000E1,1.293450468E1,1.059298277E0,1.677700043E2,1.500000000E0,9.800000191E0
3.994627198E1,6.499629667E1,2.551656333E1,1.343449349E1,1.113344193E0,1.814499969E2,1.500000000E0,9.899999619E0
4.094627198E1,6.499628500E1,2.551656333E1,1.383448271E1,1.120550275E0,1.815099945E2,1.500000000E0,9.800000191E0
4.194627198E1,6.499627500E1,2.551656667E1,1.423447306E1,1.147830606E0,1.721199951E2,1.500000000E0,1.000000000E1
4.294627198E1,6.499626333E1,2.551657167E1,1.433446165E1,1.168419480E0,1.784799957E2,1.500000000E0,1.000000000E1
4.394627198E1,6.499625000E1,2.551657167E1,1.443444934E1,1.182316899E0,1.912299957E2,1.500000000E0,1.019999981E1
4.494627198E1,6.499623833E1,2.551657167E1,1.483443856E1,1.163786888E0,1.845399933E2,1.500000000E0,1.050000000E1
4.594627198E1,6.499622667E1,2.551657000E1,1.513442800E1,1.140624404E0,1.838800049E2,1.500000000E0,1.000000000E1
